"Source:","C:\Users\Tienda\Documents\Projects\LHR\BPS-AmperesPCB\BPS-Amperes.kicad_sch"
"Date:","10/9/2022 4:01:59 PM"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","55"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mfg","Mouser#"
"22","1","R4","120","Device:R","Resistor_SMD:R_0805_2012Metric","~","CRCW0805120RFKEA",""
"23","1","R5","806","Device:R","Resistor_SMD:R_0805_2012Metric","~","CRCW0805806RFKEA",""
"24","1","R6","1.21k","Device:R","Resistor_SMD:R_0805_2012Metric","~","CRCW08051K20FKEA",""
"25","2","R7, R8","10k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~","CRCW080510K0FKEAC",""
"26","1","R9","50","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~","CRCW080550R0FKTA",""
"27","1","TP1","+12V_TP","Connector:TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","~","",""
"28","1","TP2","GNDPWR_TP","Connector:TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","~","",""
"29","1","TP3","+3.3V_TP","Connector:TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","~","",""
"30","1","TP4","GND_TP","Connector:TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","~","",""
"31","1","TP5","Ain_TP","Connector:TestPoint","","~","",""
"32","1","TP6","+1V5_TP","Connector:TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","~","",""
"33","1","TP7","+3V0_TP","Connector:TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","~","",""
"34","1","U1","INA186A3IDDFT ","utsvt-chips:INA186A3QDBVRQ1","Package_TO_SOT_SMD:SOT-23-8","","",""
"35","1","U2","RO-123.3S_HP","utsvt-power-regulators:RO-123.3S_HP","UTSVT_ICs:RI3_DC_Converter","https://www.mouser.com/datasheet/2/468/RO-1711124.pdf","RM-123.3S/H",""
"36","1","U3","LTC6820","utsvt-bps:LTC6820","Package_SO:MSOP-16_3x4mm_P0.5mm","","LTC6820HMS#PBF",""
"37","1","U4","HX1188FNL","utsvt-chips:HX1188FNL","UTSVT_Passive:HXXXX","https://www.mouser.com/datasheet/2/336/HX1188NL-515471.pdf","HX1188FNL",""
"38","1","U5","REF1930AIDDCT","utsvt-power-regulators:REF1930AIDDCT","Package_TO_SOT_SMD:SOT-23-5","","",""
"39","1","U6","LTC2315","utsvt-chips:LTC2315","Package_TO_SOT_SMD:SOT-23-8","","584-C2315ITS8-12TMPF",""
"40","1","U7","OPA2196","Amplifier_Operational:OPA2196xD","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/opa4196.pdf","OPA2196ID",""
